date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:41:02	456/456	---MCZ	200	added ('OK')	text/plain	etag:cacheable:d9bdce48ae80b867ef48fde189e505ad	https://pullman-demo.myshopify.com/robots.txt		(from )
00:41:03	185860/185860	---MCZ	200	added ('OK')	text/html	etag:cacheable:f6ba3fbabd9f3d41cd7de347bd04ebb8	https://pullman-demo.myshopify.com/	C:/My%20Web%20Sites/shoes/pullman-demo.myshopify.com/index.html	(from )
00:41:04	67165/67165	---M-Z	200	added ('OK')	text/css	date:Mon,%2015%20Feb%202021%2017:41:03%20GMT	http://cdn.shopify.com/s/files/1/0248/5823/0872/t/2/assets/timber.scss.css?v=8146606365882750987	C:/My%20Web%20Sites/shoes/cdn.shopify.com/s/files/1/0248/5823/0872/t/2/assets/timber.scssf089.css	(from https://pullman-demo.myshopify.com/)
00:41:05	252018/252018	---M-Z	200	added ('OK')	text/css	date:Wed,%2011%20Dec%202019%2017:41:05%20GMT	http://cdn.shopify.com/s/files/1/0248/5823/0872/t/2/assets/all-plugins.css?v=2928759313662115830	C:/My%20Web%20Sites/shoes/cdn.shopify.com/s/files/1/0248/5823/0872/t/2/assets/all-pluginsb057.css	(from https://pullman-demo.myshopify.com/)
00:41:06	152296/152296	---M-Z	200	added ('OK')	text/css	date:Fri,%2013%20Dec%202019%2023:30:47%20GMT	http://cdn.shopify.com/s/files/1/0248/5823/0872/t/2/assets/style.css?v=3289620364086911876	C:/My%20Web%20Sites/shoes/cdn.shopify.com/s/files/1/0248/5823/0872/t/2/assets/style848f.css	(from https://pullman-demo.myshopify.com/)
00:41:07	2770/2770	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Feb%202021%2017:41:05%20GMT	http://cdn.shopify.com/s/files/1/0248/5823/0872/t/2/assets/responsive.css?8063	C:/My%20Web%20Sites/shoes/cdn.shopify.com/s/files/1/0248/5823/0872/t/2/assets/responsive8d1f.css	(from https://pullman-demo.myshopify.com/)
00:41:08	31955/31955	---M-Z	200	added ('OK')	text/css	date:Wed,%2011%20Dec%202019%2014:00:26%20GMT	http://cdn.shopify.com/s/files/1/0248/5823/0872/t/2/assets/theme-default.css?v=9734476402808960611	C:/My%20Web%20Sites/shoes/cdn.shopify.com/s/files/1/0248/5823/0872/t/2/assets/theme-default8815.css	(from https://pullman-demo.myshopify.com/)
00:41:09	15809/15809	---M-Z	200	added ('OK')	text/css	date:Thu,%2012%20Dec%202019%2006:58:30%20GMT	http://cdn.shopify.com/s/files/1/0248/5823/0872/t/2/assets/theme-custom.css?v=14720205173148412489	C:/My%20Web%20Sites/shoes/cdn.shopify.com/s/files/1/0248/5823/0872/t/2/assets/theme-custom82a5.css	(from https://pullman-demo.myshopify.com/)
00:41:09	3487/3487	---M-Z	200	added ('OK')	text/css	date:Wed,%2011%20Dec%202019%2020:18:32%20GMT	http://cdn.shopify.com/s/files/1/0248/5823/0872/t/2/assets/theme-responsive.css?v=16796948280940266760	C:/My%20Web%20Sites/shoes/cdn.shopify.com/s/files/1/0248/5823/0872/t/2/assets/theme-responsive2776.css	(from https://pullman-demo.myshopify.com/)
00:41:10	6774/6774	---M-Z	200	added ('OK')	text/css	date:Fri,%2013%20Dec%202019%2001:44:16%20GMT	http://cdn.shopify.com/s/files/1/0248/5823/0872/t/2/assets/skin-and-color.css?v=6491472417980750638	C:/My%20Web%20Sites/shoes/cdn.shopify.com/s/files/1/0248/5823/0872/t/2/assets/skin-and-color94d1.css	(from https://pullman-demo.myshopify.com/)
00:41:11	79296/79296	---MCZ	404	error ('Not%20Found')	text/html	etag:cacheable:a851723ac352b4af3fd8ac59f4745727	https://pullman-demo.myshopify.com/POST	C:/My%20Web%20Sites/shoes/pullman-demo.myshopify.com/POST	(from https://pullman-demo.myshopify.com/)
00:41:12	77352/77352	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2012%20Feb%202021%2017:35:21%20GMT	https://cdn.shopify.com/s/trekkie.storefront.52caef9e3983d5ddf674a506e80d686b62eb86b0.min.js	C:/My%20Web%20Sites/shoes/cdn.shopify.com/s/trekkie.storefront.52caef9e3983d5ddf674a506e80d686b62eb86b0.min.js	(from https://pullman-demo.myshopify.com/)
00:41:12	92981/92981	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2028%20Oct%202020%2016:07:03%20GMT	https://cdn.shopify.com/shopifycloud/boomerang/shopify-boomerang-1.0.0.min.js	C:/My%20Web%20Sites/shoes/cdn.shopify.com/shopifycloud/boomerang/shopify-boomerang-1.0.0.min.js	(from https://pullman-demo.myshopify.com/)
00:41:13	7437/7437	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2030%20Oct%202020%2014:01:21%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/shop_events_listener-68ba3f1321f00bf07cb78a03841621079812265e950cdccade3463749ea2705e.js	C:/My%20Web%20Sites/shoes/cdn.shopify.com/shopifycloud/shopify/assets/shop_events_listener-68ba3f1321f00bf07cb78a03841621079812265e950cdccade3463749ea2705e.js	(from https://pullman-demo.myshopify.com/)
00:41:13	1454/1454	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2004%20Nov%202020%2021:24:50%20GMT	https://cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.1/index.js	C:/My%20Web%20Sites/shoes/cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.1/index.js	(from https://pullman-demo.myshopify.com/)
00:41:14	9535/9535	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2010%20Feb%202021%2016:11:35%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-d8a6f1446d67009c524ed4e68648800ba9082eb75548ee28e1050331cbe7ba28.js	C:/My%20Web%20Sites/shoes/cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-d8a6f1446d67009c524ed4e68648800ba9082eb75548ee28e1050331cbe7ba28.js	(from https://pullman-demo.myshopify.com/)
00:41:14	37632/37632	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2016%20Oct%202020%2015:31:32%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	C:/My%20Web%20Sites/shoes/cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	(from https://pullman-demo.myshopify.com/)
00:41:15	29/29	---M-Z	200	added ('OK')	text/css	date:Fri,%2006%20Dec%202019%2012:19:42%20GMT	http://cdn.shopify.com/s/files/1/0248/5823/0872/t/2/compiled_assets/styles.css?8063	C:/My%20Web%20Sites/shoes/cdn.shopify.com/s/files/1/0248/5823/0872/t/2/compiled_assets/styles8d1f.css	(from https://pullman-demo.myshopify.com/)
00:41:15	0/0	---M--	200	added ('OK')	application/javascript	date:Fri,%2006%20Dec%202019%2012:19:43%20GMT	http://cdn.shopify.com/s/files/1/0248/5823/0872/t/2/compiled_assets/scripts.js?8063	C:/My%20Web%20Sites/shoes/cdn.shopify.com/s/files/1/0248/5823/0872/t/2/compiled_assets/scripts8d1f.js	(from https://pullman-demo.myshopify.com/)
00:41:16	9611/9611	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2016%20Oct%202020%2015:50:09%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/themes_support/option_selection-fe6b72c2bbdd3369ac0bfefe8648e3c889efca213baefd4cfb0dd9363563831f.js	C:/My%20Web%20Sites/shoes/cdn.shopify.com/shopifycloud/shopify/assets/themes_support/option_selection-fe6b72c2bbdd3369ac0bfefe8648e3c889efca213baefd4cfb0dd9363563831f.js	(from https://pullman-demo.myshopify.com/)
00:41:17	6063/6063	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2016%20Oct%202020%2015:50:09%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/themes_support/api.jquery-e94e010e92e659b566dbc436fdfe5242764380e00398907a14955ba301a4749f.js	C:/My%20Web%20Sites/shoes/cdn.shopify.com/shopifycloud/shopify/assets/themes_support/api.jquery-e94e010e92e659b566dbc436fdfe5242764380e00398907a14955ba301a4749f.js	(from https://pullman-demo.myshopify.com/)
00:41:17	5892/5892	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2011%20Dec%202019%2005:25:56%20GMT	http://cdn.shopify.com/s/files/1/0248/5823/0872/t/2/assets/cart.api.js?v=9435216889269613676	C:/My%20Web%20Sites/shoes/cdn.shopify.com/s/files/1/0248/5823/0872/t/2/assets/cart.api4d91.js	(from https://pullman-demo.myshopify.com/)
00:41:18	8814/8814	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2012%20Dec%202019%2017:00:30%20GMT	http://cdn.shopify.com/s/files/1/0248/5823/0872/t/2/assets/theme.js?v=12226403969835685974	C:/My%20Web%20Sites/shoes/cdn.shopify.com/s/files/1/0248/5823/0872/t/2/assets/themefc7e.js	(from https://pullman-demo.myshopify.com/)
00:41:19	1554/1554	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2013%20Dec%202019%2018:25:35%20GMT	http://cdn.shopify.com/s/files/1/0248/5823/0872/t/2/assets/newsletter-js.js?v=9494003648367207417	C:/My%20Web%20Sites/shoes/cdn.shopify.com/s/files/1/0248/5823/0872/t/2/assets/newsletter-jsc1fa.js	(from https://pullman-demo.myshopify.com/)
00:41:19	136/136	---MC-	302	error ('Found')	text/html	date:Mon,%2015%20Feb%202021%2017:41:18%20GMT	https://pullman-demo.myshopify.com/account	C:/My%20Web%20Sites/shoes/pullman-demo.myshopify.com/account.18.delayed	(from https://pullman-demo.myshopify.com/)
00:41:22	81899/81899	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2017:41:19%20GMT	https://pullman-demo.myshopify.com/account/login?return_url=%2Faccount	C:/My%20Web%20Sites/shoes/pullman-demo.myshopify.com/account/login4236.html	(from https://pullman-demo.myshopify.com/)
00:41:22	267076/267076	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2011%20Dec%202019%2010:40:05%20GMT	http://cdn.shopify.com/s/files/1/0248/5823/0872/t/2/assets/all-plugins.js?v=17484234233192520037	C:/My%20Web%20Sites/shoes/cdn.shopify.com/s/files/1/0248/5823/0872/t/2/assets/all-pluginsbab1.js	(from https://pullman-demo.myshopify.com/)
00:41:22	29804/29804	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Feb%202021%2018:56:18%20GMT	http://cdn.shopify.com/s/files/1/0248/5823/0872/files/0012_440x550_crop_center.jpg?v=1571721402	C:/My%20Web%20Sites/shoes/cdn.shopify.com/s/files/1/0248/5823/0872/files/0012_440x550_crop_center8304.jpg	(from https://pullman-demo.myshopify.com/)
00:41:22	155/155	---MC-	302	error ('Found')	text/html	date:Mon,%2015%20Feb%202021%2017:41:20%20GMT	https://pullman-demo.myshopify.com/checkout	C:/My%20Web%20Sites/shoes/pullman-demo.myshopify.com/checkout.1a.delayed	(from https://pullman-demo.myshopify.com/)
00:41:23	105/105	---MC-	302	error ('Found')	text/html	date:Mon,%2015%20Feb%202021%2017:41:22%20GMT	https://pullman-demo.myshopify.com/24858230872/checkouts/6bea24a8a947dece1a165bfc35f3525a	C:/My%20Web%20Sites/shoes/pullman-demo.myshopify.com/24858230872/checkouts/6bea24a8a947dece1a165bfc35f3525a	(from https://pullman-demo.myshopify.com/)
00:41:24	79686/79686	---MCZ	200	added ('OK')	text/html	etag:cacheable:a947457cf26e147d07c646cbdf901b34	https://pullman-demo.myshopify.com/cart	C:/My%20Web%20Sites/shoes/pullman-demo.myshopify.com/cart.html	(from https://pullman-demo.myshopify.com/)
00:41:25	1589/1589	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Jan%202021%2001:26:18%20GMT	http://cdn.shopify.com/s/files/1/0248/5823/0872/files/logo_300x.png?v=1562839006	C:/My%20Web%20Sites/shoes/cdn.shopify.com/s/files/1/0248/5823/0872/files/logo_300xaa42.png	(from https://pullman-demo.myshopify.com/)
00:41:25	81819/81819	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2017:41:23%20GMT	https://pullman-demo.myshopify.com/account/login	C:/My%20Web%20Sites/shoes/pullman-demo.myshopify.com/account/login.html	(from https://pullman-demo.myshopify.com/)
00:41:26	101/101	---MC-	302	error ('Found')	text/html	date:Mon,%2015%20Feb%202021%2017:41:25%20GMT	https://pullman-demo.myshopify.com/?preview_theme_id=73827778648	C:/My%20Web%20Sites/shoes/pullman-demo.myshopify.com/indexbf88.html	(from https://pullman-demo.myshopify.com/)
00:41:26	108044/108044	---MCZ	200	added ('OK')	text/html	etag:cacheable:45e614399660b4110bc2a6ee15de54a3	https://pullman-demo.myshopify.com/collections/all	C:/My%20Web%20Sites/shoes/pullman-demo.myshopify.com/collections/all.html	(from https://pullman-demo.myshopify.com/)
00:41:27	101/101	---MC-	302	error ('Found')	text/html	date:Mon,%2015%20Feb%202021%2017:41:25%20GMT	https://pullman-demo.myshopify.com/?preview_theme_id=77536657496	C:/My%20Web%20Sites/shoes/pullman-demo.myshopify.com/index2905.html	(from https://pullman-demo.myshopify.com/)
00:41:27	101/101	---MC-	302	error ('Found')	text/html	date:Mon,%2015%20Feb%202021%2017:41:26%20GMT	https://pullman-demo.myshopify.com/?preview_theme_id=77537345624	C:/My%20Web%20Sites/shoes/pullman-demo.myshopify.com/index6a52.html	(from https://pullman-demo.myshopify.com/)
00:41:27	101/101	---MC-	302	error ('Found')	text/html	date:Mon,%2015%20Feb%202021%2017:41:26%20GMT	https://pullman-demo.myshopify.com/?preview_theme_id=77476724824	C:/My%20Web%20Sites/shoes/pullman-demo.myshopify.com/index6f88.html	(from https://pullman-demo.myshopify.com/)
00:41:27	101/101	---MC-	302	error ('Found')	text/html	date:Mon,%2015%20Feb%202021%2017:41:26%20GMT	https://pullman-demo.myshopify.com/?preview_theme_id=77563068504	C:/My%20Web%20Sites/shoes/pullman-demo.myshopify.com/index1201.html	(from https://pullman-demo.myshopify.com/)
00:41:27	101/101	---MC-	302	error ('Found')	text/html	date:Mon,%2015%20Feb%202021%2017:41:26%20GMT	https://pullman-demo.myshopify.com/?preview_theme_id=77563887704	C:/My%20Web%20Sites/shoes/pullman-demo.myshopify.com/index200a.html	(from https://pullman-demo.myshopify.com/)
00:41:28	127987/127987	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2017:41:26%20GMT	https://pullman-demo.myshopify.com/products/best-womens-shoes	C:/My%20Web%20Sites/shoes/pullman-demo.myshopify.com/products/best-womens-shoes.html	(from https://pullman-demo.myshopify.com/)
00:41:30	128588/128588	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2017:41:29%20GMT	https://pullman-demo.myshopify.com/products/black-leather-slippers	C:/My%20Web%20Sites/shoes/pullman-demo.myshopify.com/products/black-leather-slippers.html	(from https://pullman-demo.myshopify.com/)
00:41:31	115883/115883	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2017:41:30%20GMT	https://pullman-demo.myshopify.com/products/blue-shoes-sell	C:/My%20Web%20Sites/shoes/pullman-demo.myshopify.com/products/blue-shoes-sell.html	(from https://pullman-demo.myshopify.com/)
00:41:33	120925/120925	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2017:41:31%20GMT	https://pullman-demo.myshopify.com/products/product-title-here	C:/My%20Web%20Sites/shoes/pullman-demo.myshopify.com/products/product-title-here.html	(from https://pullman-demo.myshopify.com/)
00:41:38	249733/249733	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2017:41:32%20GMT	https://pullman-demo.myshopify.com/products/product-title-here-1	C:/My%20Web%20Sites/shoes/pullman-demo.myshopify.com/products/product-title-here-1.html	(from https://pullman-demo.myshopify.com/)
00:41:48	119124/119124	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2017:41:33%20GMT	https://pullman-demo.myshopify.com/products/product-dummy-title-2	C:/My%20Web%20Sites/shoes/pullman-demo.myshopify.com/products/product-dummy-title-2.html	(from https://pullman-demo.myshopify.com/)
00:41:54	249387/249387	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2017:41:48%20GMT	https://pullman-demo.myshopify.com/products/red-shoes-sell	C:/My%20Web%20Sites/shoes/pullman-demo.myshopify.com/products/red-shoes-sell.html	(from https://pullman-demo.myshopify.com/)
00:42:03	120261/120261	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2017:41:48%20GMT	https://pullman-demo.myshopify.com/products/product-dummy-title-4	C:/My%20Web%20Sites/shoes/pullman-demo.myshopify.com/products/product-dummy-title-4.html	(from https://pullman-demo.myshopify.com/)
00:42:05	130571/130571	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2017:42:03%20GMT	https://pullman-demo.myshopify.com/products/red-slippers-man	C:/My%20Web%20Sites/shoes/pullman-demo.myshopify.com/products/red-slippers-man.html	(from https://pullman-demo.myshopify.com/)
00:42:07	130341/130341	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2017:42:05%20GMT	https://pullman-demo.myshopify.com/products/new-womens-shoes	C:/My%20Web%20Sites/shoes/pullman-demo.myshopify.com/products/new-womens-shoes.html	(from https://pullman-demo.myshopify.com/)
00:42:12	248910/248910	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2017:42:06%20GMT	https://pullman-demo.myshopify.com/products/sell-mens-slippers	C:/My%20Web%20Sites/shoes/pullman-demo.myshopify.com/products/sell-mens-slippers.html	(from https://pullman-demo.myshopify.com/)
00:42:22	105169/105169	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2017:42:07%20GMT	https://pullman-demo.myshopify.com/collections/new-arrivals-products	C:/My%20Web%20Sites/shoes/pullman-demo.myshopify.com/collections/new-arrivals-products.html	(from https://pullman-demo.myshopify.com/)
00:42:23	121921/121921	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2017:42:22%20GMT	https://pullman-demo.myshopify.com/products/green-shoes	C:/My%20Web%20Sites/shoes/pullman-demo.myshopify.com/products/green-shoes.html	(from https://pullman-demo.myshopify.com/)
00:42:29	247431/247431	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2017:42:22%20GMT	https://pullman-demo.myshopify.com/products/sell-black-slippers	C:/My%20Web%20Sites/shoes/pullman-demo.myshopify.com/products/sell-black-slippers.html	(from https://pullman-demo.myshopify.com/)
00:42:38	153888/153888	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2017:42:23%20GMT	https://pullman-demo.myshopify.com/blogs/news	C:/My%20Web%20Sites/shoes/pullman-demo.myshopify.com/blogs/news.html	(from https://pullman-demo.myshopify.com/)
00:42:40	87832/87832	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2017:42:38%20GMT	https://pullman-demo.myshopify.com/pages/contact-us	C:/My%20Web%20Sites/shoes/pullman-demo.myshopify.com/pages/contact-us.html	(from https://pullman-demo.myshopify.com/)
00:42:41	105330/105330	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2017:42:40%20GMT	https://pullman-demo.myshopify.com/collections/featured-products	C:/My%20Web%20Sites/shoes/pullman-demo.myshopify.com/collections/featured-products.html	(from https://pullman-demo.myshopify.com/)
00:42:42	80192/80192	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Feb%202021%2017:42:40%20GMT	https://pullman-demo.myshopify.com/products/11-product-with-video	C:/My%20Web%20Sites/shoes/pullman-demo.myshopify.com/products/11-product-with-video	(from https://pullman-demo.myshopify.com/)
00:42:43	9776/9776	---M--	200	added ('OK')	image/jpeg	date:Mon,%2015%20Feb%202021%2017:42:42%20GMT	http://cdn.shopify.com/s/files/1/0248/5823/0872/files/about.jpg?v=1567397712	C:/My%20Web%20Sites/shoes/cdn.shopify.com/s/files/1/0248/5823/0872/files/about1280.jpg	(from https://pullman-demo.myshopify.com/)
00:42:45	18074/18074	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Jan%202021%2002:58:26%20GMT	http://cdn.shopify.com/s/files/1/0248/5823/0872/products/7_bf09ff80-ac12-4c9e-895c-4479741c96f7_large.jpg?v=1571545267	C:/My%20Web%20Sites/shoes/cdn.shopify.com/s/files/1/0248/5823/0872/products/7_bf09ff80-ac12-4c9e-895c-4479741c96f7_large0052.jpg	(from https://pullman-demo.myshopify.com/)
00:42:45	10990/10990	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Jan%202021%2002:58:26%20GMT	http://cdn.shopify.com/s/files/1/0248/5823/0872/products/1_1024x1024_5287d82e-2e95-4325-a6a9-18def12520da_large.jpg?v=1571545789	C:/My%20Web%20Sites/shoes/cdn.shopify.com/s/files/1/0248/5823/0872/products/1_1024x1024_5287d82e-2e95-4325-a6a9-18def12520da_large5848.jpg	(from https://pullman-demo.myshopify.com/)
00:42:47	12708/12708	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20Feb%202021%2016:05:14%20GMT	http://cdn.shopify.com/s/files/1/0248/5823/0872/products/6_a863f304-ec9f-4792-9425-a0d90024d265_large.jpg?v=1571548850	C:/My%20Web%20Sites/shoes/cdn.shopify.com/s/files/1/0248/5823/0872/products/6_a863f304-ec9f-4792-9425-a0d90024d265_large75a7.jpg	(from https://pullman-demo.myshopify.com/)
00:42:47	17885/17885	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20Feb%202021%2016:05:14%20GMT	http://cdn.shopify.com/s/files/1/0248/5823/0872/products/5_1024x1024_c0a7cd97-9b3b-4e5a-b247-0d7dc816850c_large.jpg?v=1571549945	C:/My%20Web%20Sites/shoes/cdn.shopify.com/s/files/1/0248/5823/0872/products/5_1024x1024_c0a7cd97-9b3b-4e5a-b247-0d7dc816850c_large1c02.jpg	(from https://pullman-demo.myshopify.com/)
00:42:47	10968/10968	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20Feb%202021%2016:05:14%20GMT	http://cdn.shopify.com/s/files/1/0248/5823/0872/products/1_e3ba6ded-fdec-4d47-ab76-7334cb7f2b99_large.jpg?v=1571546515	C:/My%20Web%20Sites/shoes/cdn.shopify.com/s/files/1/0248/5823/0872/products/1_e3ba6ded-fdec-4d47-ab76-7334cb7f2b99_large0885.jpg	(from https://pullman-demo.myshopify.com/)
00:42:49	10502/10502	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Jan%202021%2002:58:26%20GMT	http://cdn.shopify.com/s/files/1/0248/5823/0872/products/9_2fb7cc1d-cf28-45a9-bc65-8629d22593b7_large.jpg?v=1571546896	C:/My%20Web%20Sites/shoes/cdn.shopify.com/s/files/1/0248/5823/0872/products/9_2fb7cc1d-cf28-45a9-bc65-8629d22593b7_large41c3.jpg	(from https://pullman-demo.myshopify.com/)
00:42:49	23547/23547	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20Feb%202021%2016:05:14%20GMT	http://cdn.shopify.com/s/files/1/0248/5823/0872/products/3_1024x1024_6cfcd393-e9c1-413d-8def-f23489adc35b_large.jpg?v=1571550009	C:/My%20Web%20Sites/shoes/cdn.shopify.com/s/files/1/0248/5823/0872/products/3_1024x1024_6cfcd393-e9c1-413d-8def-f23489adc35b_large8f7d.jpg	(from https://pullman-demo.myshopify.com/)
00:42:53	208966/208966	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202021%2017:42:48%20GMT	https://pullman-demo.myshopify.com/collections	C:/My%20Web%20Sites/shoes/pullman-demo.myshopify.com/collections.html	(from https://pullman-demo.myshopify.com/)
00:42:53	17885/17885	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Jan%202021%2002:58:26%20GMT	http://cdn.shopify.com/s/files/1/0248/5823/0872/products/5_1024x1024_c19a63bd-9dd9-46a9-bd9e-6c62ef907c41_large.jpg?v=1571549990	C:/My%20Web%20Sites/shoes/cdn.shopify.com/s/files/1/0248/5823/0872/products/5_1024x1024_c19a63bd-9dd9-46a9-bd9e-6c62ef907c41_largeaf19.jpg	(from https://pullman-demo.myshopify.com/)
00:42:54	10173/10173	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20Feb%202021%2016:05:13%20GMT	http://cdn.shopify.com/s/files/1/0248/5823/0872/files/banner_1.3.jpg?v=1567406075	C:/My%20Web%20Sites/shoes/cdn.shopify.com/s/files/1/0248/5823/0872/files/banner_1.31ae0.jpg	(from https://pullman-demo.myshopify.com/)
00:43:00	32305/32305	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20Feb%202021%2016:05:14%20GMT	http://cdn.shopify.com/s/files/1/0248/5823/0872/products/7_bf09ff80-ac12-4c9e-895c-4479741c96f7_800X800_crop_center.jpg?v=1571545267	C:/My%20Web%20Sites/shoes/cdn.shopify.com/s/files/1/0248/5823/0872/products/7_bf09ff80-ac12-4c9e-895c-4479741c96f7_800X800_crop_center0052.jpg	(from https://pullman-demo.myshopify.com/)
00:43:00	27064/27064	---M--	200	added ('OK')	image/jpeg	date:Mon,%2015%20Feb%202021%2017:42:54%20GMT	http://cdn.shopify.com/s/files/1/0248/5823/0872/products/5_1024x1024_c0a7cd97-9b3b-4e5a-b247-0d7dc816850c_800X800_crop_center.jpg?v=1571549945	C:/My%20Web%20Sites/shoes/cdn.shopify.com/s/files/1/0248/5823/0872/products/5_1024x1024_c0a7cd97-9b3b-4e5a-b247-0d7dc816850c_800X800_crop_center1c02.jpg	(from https://pullman-demo.myshopify.com/)
00:43:00	73657/73657	---M--	200	added ('OK')	image/png	date:Wed,%2010%20Feb%202021%2016:05:14%20GMT	http://cdn.shopify.com/s/files/1/0248/5823/0872/files/banner_01.png?v=1571480855	C:/My%20Web%20Sites/shoes/cdn.shopify.com/s/files/1/0248/5823/0872/files/banner_0119ef.png	(from https://pullman-demo.myshopify.com/)
00:43:01	51678/51678	---M--	200	added ('OK')	image/jpeg	date:Mon,%2015%20Feb%202021%2017:42:53%20GMT	http://cdn.shopify.com/s/files/1/0248/5823/0872/collections/bg_spe_1024x1024.jpg?v=1567575996	C:/My%20Web%20Sites/shoes/cdn.shopify.com/s/files/1/0248/5823/0872/collections/bg_spe_1024x1024ba5a.jpg	(from https://pullman-demo.myshopify.com/)
00:43:03	23293/23293	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20Feb%202021%2016:05:14%20GMT	http://cdn.shopify.com/s/files/1/0248/5823/0872/products/6_a863f304-ec9f-4792-9425-a0d90024d265_800X800_crop_center.jpg?v=1571548850	C:/My%20Web%20Sites/shoes/cdn.shopify.com/s/files/1/0248/5823/0872/products/6_a863f304-ec9f-4792-9425-a0d90024d265_800X800_crop_center75a7.jpg	(from https://pullman-demo.myshopify.com/)
00:43:04	19898/19898	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Jan%202021%2002:58:27%20GMT	http://cdn.shopify.com/s/files/1/0248/5823/0872/products/1_6bb1ea93-9e55-442a-9d62-b284d58e91ea_800X800_crop_center.jpg?v=1571545416	C:/My%20Web%20Sites/shoes/cdn.shopify.com/s/files/1/0248/5823/0872/products/1_6bb1ea93-9e55-442a-9d62-b284d58e91ea_800X800_crop_centerdd26.jpg	(from https://pullman-demo.myshopify.com/)
